Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2015-04-29,"10,074,684","725,594,690",72.5,72.7,71.6,71.8,-0.8,"1,811"
2015-04-30,"6,780,532","484,999,522",71.6,71.8,71.15,71.45,-0.35,"1,457"
2015-05-04,"5,381,376","383,599,096",71.45,71.65,70.85,71.6,0.15,"1,220"
2015-05-05,"6,801,050","483,838,544",71.4,71.4,70.9,71.2,-0.4,"1,174"
2015-05-06,"6,603,488","468,611,056",70.8,71.4,70.5,71.3,0.1,"1,301"
2015-05-07,"10,204,224","718,490,164",70.8,70.8,70.15,70.45,-0.85,"1,945"
2015-05-08,"5,647,296","398,589,652",70.45,70.65,70.45,70.5,0.05,"1,082"
2015-05-11,"11,222,257","793,547,954",71.0,71.2,70.3,70.85,0.35,"1,986"
2015-05-12,"9,064,022","640,522,400",70.6,70.85,70.55,70.7,-0.15,"1,712"
2015-05-13,"6,874,083","488,179,679",70.7,71.2,70.7,71.1,0.4,"1,146"
2015-05-14,"16,520,264","1,161,687,961",70.85,70.95,70.0,70.1,-1.0,"3,256"
2015-05-15,"11,642,867","815,422,387",70.3,70.35,69.7,70.0,-0.1,"2,197"
2015-05-18,"3,248,292","227,961,241",70.05,70.3,70.0,70.25,0.25,950
2015-05-19,"8,458,272","601,702,901",70.4,71.45,70.4,71.3,1.05,"2,147"
2015-05-20,"7,530,606","534,194,695",71.25,71.25,70.8,70.8,-0.5,"1,216"
2015-05-21,"11,567,932","809,811,559",70.15,70.2,69.75,70.15,-0.65,"2,097"
2015-05-22,"6,152,758","435,042,013",70.2,70.95,70.2,70.7,0.55,"1,234"
2015-05-25,"2,391,058","169,027,182",70.45,70.95,70.3,70.7,0.0,734
2015-05-26,"7,521,312","535,292,867",71.2,71.6,70.8,71.0,0.3,"1,247"
2015-05-27,"5,812,358","413,273,073",70.85,71.3,70.7,71.15,0.15,974
2015-05-28,"5,790,144","414,080,476",71.75,71.9,71.25,71.5,0.35,"1,285"
2015-05-29,"4,900,148","349,371,690",71.7,71.7,71.05,71.1,-0.4,"1,635"
2015-06-01,"7,850,223","553,306,871",71.1,71.15,70.25,70.5,-0.6,"1,749"
2015-06-02,"4,867,412","341,989,139",70.45,70.5,70.0,70.4,-0.1,"1,142"
2015-06-03,"6,558,304","459,976,121",70.3,70.4,69.9,69.95,-0.45,"1,466"
2015-06-04,"28,182,317","1,941,540,073",69.8,69.9,68.35,68.6,-1.35,"5,559"
2015-06-05,"15,106,306","1,033,376,164",68.5,68.6,68.2,68.45,-0.15,"2,804"
2015-06-08,"9,094,127","622,037,152",68.3,69.05,68.0,68.9,0.45,"2,538"
2015-06-09,"18,429,951","1,258,036,692",68.5,68.6,68.0,68.35,-0.55,"2,856"
2015-06-10,"8,666,901","595,189,468",68.55,68.9,68.45,68.65,0.3,"1,959"
2015-06-11,"7,352,571","504,746,450",68.8,68.9,68.4,68.85,0.2,"1,254"
2015-06-12,"3,175,799","218,259,470",68.9,69.0,68.45,68.8,-0.05,870
2015-06-15,"3,761,616","258,521,656",68.8,69.0,68.5,68.65,-0.15,971
2015-06-16,"8,681,702","592,299,290",68.65,68.65,68.05,68.2,-0.45,"1,749"
2015-06-17,"5,564,580","380,966,978",68.2,68.75,68.2,68.5,0.3,"1,585"
2015-06-18,"10,688,270","730,684,809",68.45,68.55,68.2,68.4,-0.1,"1,343"
2015-06-22,"11,310,165","782,304,510",68.75,69.4,68.75,69.35,0.95,"1,920"
2015-06-23,"5,311,263","369,513,247",69.55,69.85,69.35,69.55,0.2,"1,515"
2015-06-24,"6,127,048","426,268,842",69.6,69.7,69.4,69.65,0.1,"1,203"
2015-06-25,"13,815,425","972,267,505",70.0,70.65,70.0,70.45,0.8,"2,531"
2015-06-26,"4,926,733","346,310,265",70.45,70.45,70.15,70.45,0.0,"1,336"
2015-06-29,"11,576,161","800,533,393",69.35,69.6,68.75,68.8,-1.65,"2,885"
2015-06-30,"4,093,490","282,871,294",68.8,69.4,68.8,69.4,0.6,"1,284"
2015-07-01,"6,063,171","424,660,570",69.4,70.3,69.25,70.05,+0.65,"1,853"
2015-07-02,"4,340,672","303,948,992",70.2,70.25,69.85,70.1,+0.05,747
