Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2017-06-01,"2,221,692","170,334,430",76.5,76.9,76.5,76.9,0.4,782
2017-06-02,"3,540,934","273,287,776",77.3,77.3,77.05,77.2,0.3,733
2017-06-03,"2,052,295","158,709,516",77.25,77.4,77.25,77.4,0.2,541
2017-06-05,"3,281,752","254,540,406",77.35,78.0,77.25,78.0,0.6,849
2017-06-06,"1,203,007","93,684,346",77.95,77.95,77.7,77.95,-0.05,618
2017-06-07,"1,844,790","143,852,570",77.9,78.1,77.7,77.95,0.0,485
2017-06-08,"1,886,861","147,421,476",77.95,78.25,77.8,78.25,0.3,489
2017-06-09,"3,010,414","235,254,296",78.05,78.35,77.95,78.0,-0.25,"1,261"
2017-06-12,"3,300,815","254,991,488",77.15,77.5,77.05,77.15,-0.85,"1,008"
2017-06-13,"1,615,980","124,661,164",77.15,77.3,77.0,77.25,0.1,437
2017-06-14,"3,380,592","259,920,485",77.4,77.4,76.5,76.85,-0.4,775
2017-06-15,"1,507,476","115,742,992",76.8,76.9,76.6,76.9,0.05,473
2017-06-16,"4,233,093","327,234,575",76.9,77.7,76.85,77.7,0.8,711
2017-06-19,"5,144,835","403,115,770",77.7,78.55,77.7,78.55,0.85,"1,459"
2017-06-20,"4,046,834","320,905,688",78.6,79.65,78.6,79.45,0.9,"1,306"
2017-06-21,"13,612,954","1,084,759,757",79.2,79.9,78.85,79.55,0.1,"2,001"
2017-06-22,"6,112,800","487,656,013",79.6,79.85,79.55,79.75,0.2,"1,120"
2017-06-23,"8,517,089","679,313,575",79.75,80.05,79.65,79.7,-0.05,"3,426"
2017-06-26,"14,254,481","1,152,368,187",79.8,81.5,79.8,81.4,1.7,"2,367"
2017-06-27,"3,026,202","245,706,817",81.4,81.5,81.0,81.3,-0.1,"1,145"
2017-06-28,"6,286,912","506,227,717",80.9,81.05,80.3,80.55,-0.75,"2,321"
2017-06-29,"1,427,255","115,380,165",81.0,81.05,80.5,80.65,0.1,513
2017-06-30,"3,070,653","245,991,027",80.1,80.4,79.8,80.4,-0.25,854
