Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2018-01-02,"3,613,199","298,033,251",82.15,82.6,82.15,82.6,+0.45,"1,795"
2018-01-03,"7,196,437","599,476,413",82.95,83.45,82.95,83.35,+0.75,"3,014"
2018-01-04,"5,627,565","469,312,820",83.5,83.65,83.2,83.5,+0.15,"2,278"
2018-01-05,"7,616,796","636,768,692",83.5,83.8,83.3,83.75,+0.25,"2,562"
2018-01-08,"5,189,611","435,775,639",83.8,84.15,83.7,84.1,+0.35,"2,282"
2018-01-09,"3,664,716","308,057,554",84.1,84.25,83.9,84.15,+0.05,"1,340"
2018-01-10,"5,749,597","482,358,793",84.1,84.25,83.55,83.75,-0.40,"1,073"
2018-01-11,"2,579,225","214,867,793",83.65,83.7,83.1,83.4,-0.35,735
2018-01-12,"2,871,193","241,214,778",83.55,84.2,83.5,84.1,+0.70,"1,002"
2018-01-15,"2,819,852","238,493,616",84.55,84.7,84.4,84.65,+0.55,"1,126"
2018-01-16,"3,955,841","335,496,385",84.65,85.0,84.5,85.0,+0.35,"1,295"
2018-01-17,"5,698,268","485,174,071",84.65,85.45,84.65,85.15,+0.15,"2,017"
2018-01-18,"6,898,803","594,091,024",85.5,86.55,85.5,86.3,+1.15,"2,272"
2018-01-19,"5,302,072","461,040,360",86.35,87.15,86.35,87.15,+0.85,"1,445"
2018-01-22,"4,441,061","389,066,253",87.15,87.95,87.15,87.95,+0.80,"1,746"
2018-01-23,"5,799,932","511,405,502",88.05,88.4,87.9,88.3,+0.35,"1,842"
2018-01-24,"5,103,429","444,907,065",88.0,88.0,86.85,87.2,-1.10,"1,869"
2018-01-25,"4,983,684","436,967,956",87.25,88.3,87.15,87.45,+0.25,"1,652"
2018-01-26,"7,774,673","678,481,509",87.45,87.6,86.85,87.5,+0.05,"3,087"
2018-01-29,"6,445,797","551,350,942",85.5,86.15,85.2,85.55,X0.00,"3,453"
2018-01-30,"4,966,261","421,572,779",85.2,85.35,84.5,84.55,-1.00,"2,337"
2018-01-31,"4,251,739","359,040,915",84.4,85.0,84.15,84.65,+0.10,"1,176"
2018-02-01,"2,914,539","248,420,810",84.75,85.5,84.75,85.25,+0.60,897
2018-02-02,"3,081,592","261,095,295",84.85,85.15,84.35,84.9,-0.35,880
2018-02-05,"7,075,902","588,994,369",83.2,83.75,82.9,83.6,-1.30,"2,875"
2018-02-06,"32,222,595","2,574,016,957",80.85,81.1,78.8,79.65,-3.95,"11,372"
2018-02-07,"10,181,907","825,539,952",81.35,81.4,80.6,80.65,+1.00,"5,189"
2018-02-08,"4,514,691","363,476,832",80.65,80.95,80.3,80.6,-0.05,"1,972"
2018-02-09,"16,211,237","1,271,812,204",78.6,79.2,78.0,79.05,-1.55,"6,760"
2018-02-12,"8,443,795","672,977,850",79.55,79.9,79.4,79.7,+0.65,"3,828"
2018-02-21,"11,646,085","948,993,971",81.4,81.7,81.1,81.5,+1.80,"4,541"
2018-02-22,"3,749,910","303,821,917",81.5,81.5,80.75,81.0,-0.50,"1,744"
2018-02-23,"3,779,316","309,207,057",81.4,82.1,81.4,82.0,+1.00,"1,793"
2018-02-26,"3,289,207","271,560,439",82.55,82.8,82.35,82.4,+0.40,"1,380"
2018-02-27,"7,663,746","634,417,022",83.1,83.2,82.35,82.35,-0.05,"2,037"
2018-03-01,"4,344,220","354,595,798",81.55,81.95,81.15,81.75,-0.60,"2,554"
2018-03-02,"6,262,361","505,982,082",80.85,81.2,80.45,81.15,-0.60,"2,846"
2018-03-05,"3,723,757","301,898,098",81.1,81.5,80.65,80.75,-0.40,"1,223"
2018-03-06,"5,732,204","469,203,518",81.65,82.15,81.6,82.15,+1.40,"1,756"
2018-03-07,"2,619,161","214,899,152",81.75,82.45,81.7,81.8,-0.35,"1,029"
2018-03-08,"3,232,583","266,947,148",82.15,82.8,82.15,82.75,+0.95,"1,396"
2018-03-09,"2,832,064","234,740,002",82.9,83.0,82.7,82.85,+0.10,986
2018-03-12,"8,752,324","735,446,031",83.6,84.25,83.55,84.15,+1.30,"2,942"
2018-03-13,"9,837,435","831,704,291",84.35,84.95,84.3,84.95,+0.80,"3,126"
2018-03-14,"3,415,928","287,869,559",84.35,84.45,84.0,84.3,-0.65,"1,373"
2018-03-15,"3,506,898","295,014,773",84.0,84.3,83.9,84.25,-0.05,"1,533"
2018-03-16,"5,510,671","460,021,500",84.0,84.2,83.1,83.9,-0.35,"1,652"
2018-03-19,"2,035,534","170,676,406",83.65,84.1,83.45,83.85,-0.05,892
2018-03-20,"2,895,350","241,726,053",83.2,83.8,83.2,83.8,-0.05,"1,019"
2018-03-21,"4,891,527","410,076,823",83.8,84.1,83.6,83.85,+0.05,"2,337"
2018-03-22,"3,429,925","288,139,929",84.0,84.6,83.45,83.55,-0.30,"1,608"
2018-03-23,"8,259,738","677,767,488",81.85,82.4,81.8,82.1,-1.45,"2,816"
2018-03-26,"4,369,122","357,831,903",81.85,82.2,81.6,82.2,+0.10,"1,837"
2018-03-27,"3,277,568","272,571,549",83.0,83.4,82.95,83.4,+1.20,"1,015"
2018-03-28,"4,161,192","343,127,725",82.9,82.9,82.2,82.25,-1.15,"1,306"
2018-03-29,"4,099,855","336,213,829",82.25,82.35,81.8,82.1,-0.15,"1,127"
2018-03-30,"4,994,090","414,075,827",82.65,83.05,82.65,82.85,+0.75,"1,285"
2018-03-31,"878,295","72,801,339",82.85,83.05,82.75,82.95,+0.10,495
2018-04-02,"3,737,299","307,813,730",82.85,82.95,82.15,82.25,-0.7,"1,099"
2018-04-03,"6,187,523","503,435,586",81.5,81.55,81.2,81.5,-0.75,"2,624"
2018-04-09,"3,401,430","278,923,482",82.15,82.3,81.6,82.2,0.7,"1,167"
2018-04-10,"3,860,497","318,719,411",82.1,82.85,81.75,82.5,0.3,"1,039"
2018-04-11,"2,603,653","215,930,349",82.9,83.1,82.75,82.85,0.35,"1,252"
2018-04-12,"3,591,573","296,423,097",83.05,83.15,82.25,82.5,-0.35,"1,267"
2018-04-13,"2,982,732","246,303,554",82.7,82.8,82.3,82.5,0.0,792
2018-04-16,"1,809,198","148,796,053",82.65,82.65,82.0,82.3,-0.2,761
2018-04-17,"4,325,040","352,876,030",82.4,82.4,81.35,81.4,-0.9,"2,223"
2018-04-18,"3,739,837","305,624,331",81.6,82.1,81.35,81.6,0.2,"1,306"
2018-04-19,"4,461,269","367,816,687",81.9,82.65,81.9,82.65,1.05,"1,200"
2018-04-20,"9,017,715","728,325,834",81.0,81.1,80.5,80.75,-1.9,"3,705"
2018-04-23,"10,624,780","850,769,704",80.25,80.45,79.9,79.95,-0.8,"5,274"
2018-04-24,"16,867,787","1,341,875,510",79.9,79.95,79.05,79.55,-0.4,"6,924"
2018-04-25,"16,460,997","1,301,833,349",79.25,79.3,78.8,79.3,-0.25,"7,679"
