Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2018-04-02,"3,737,299","307,813,730",82.85,82.95,82.15,82.25,-0.7,"1,099"
2018-04-03,"6,187,523","503,435,586",81.5,81.55,81.2,81.5,-0.75,"2,624"
2018-04-09,"3,401,430","278,923,482",82.15,82.3,81.6,82.2,0.7,"1,167"
2018-04-19,"4,461,269","367,816,687",81.9,82.65,81.9,82.65,1.05,"1,200"
2018-04-20,"9,017,715","728,325,834",81.0,81.1,80.5,80.75,-1.9,"3,705"
2018-04-23,"10,624,780","850,769,704",80.25,80.45,79.9,79.95,-0.8,"5,274"
2018-04-24,"16,867,787","1,341,875,510",79.9,79.95,79.05,79.55,-0.4,"6,924"
2018-04-25,"16,460,997","1,301,833,349",79.25,79.3,78.8,79.3,-0.25,"7,679"
2018-04-26,"16,485,778","1,305,124,761",79.7,79.7,78.8,79.05,-0.25,"6,863"
2018-04-27,"12,395,611","979,827,894",79.6,79.65,78.8,79.2,0.15,"4,730"
2018-03-01,"4,344,220","354,595,798",81.55,81.95,81.15,81.75,-0.60,"2,554"
2018-03-02,"6,262,361","505,982,082",80.85,81.2,80.45,81.15,-0.60,"2,846"
2018-03-05,"3,723,757","301,898,098",81.1,81.5,80.65,80.75,-0.40,"1,223"
2018-03-06,"5,732,204","469,203,518",81.65,82.15,81.6,82.15,+1.40,"1,756"
2018-03-07,"2,619,161","214,899,152",81.75,82.45,81.7,81.8,-0.35,"1,029"
2018-03-08,"3,232,583","266,947,148",82.15,82.8,82.15,82.75,+0.95,"1,396"
2018-03-09,"2,832,064","234,740,002",82.9,83.0,82.7,82.85,+0.10,986
2018-03-20,"2,895,350","241,726,053",83.2,83.8,83.2,83.8,-0.05,"1,019"
2018-03-21,"4,891,527","410,076,823",83.8,84.1,83.6,83.85,+0.05,"2,337"
2018-03-22,"3,429,925","288,139,929",84.0,84.6,83.45,83.55,-0.30,"1,608"
2018-04-10,"3,860,497","318,719,411",82.1,82.85,81.75,82.5,0.3,"1,039"
2018-04-11,"2,603,653","215,930,349",82.9,83.1,82.75,82.85,0.35,"1,252"
2018-04-12,"3,591,573","296,423,097",83.05,83.15,82.25,82.5,-0.35,"1,267"
2018-04-13,"2,982,732","246,303,554",82.7,82.8,82.3,82.5,0.0,792
2018-04-16,"1,809,198","148,796,053",82.65,82.65,82.0,82.3,-0.2,761
2018-04-17,"4,325,040","352,876,030",82.4,82.4,81.35,81.4,-0.9,"2,223"
2018-04-18,"3,739,837","305,624,331",81.6,82.1,81.35,81.6,0.2,"1,306"
2018-03-23,"8,259,738","677,767,488",81.85,82.4,81.8,82.1,-1.45,"2,816"
2018-03-26,"4,369,122","357,831,903",81.85,82.2,81.6,82.2,+0.10,"1,837"
2018-03-27,"3,277,568","272,571,549",83.0,83.4,82.95,83.4,+1.20,"1,015"
2018-03-28,"4,161,192","343,127,725",82.9,82.9,82.2,82.25,-1.15,"1,306"
2018-03-29,"4,099,855","336,213,829",82.25,82.35,81.8,82.1,-0.15,"1,127"
2018-03-30,"4,994,090","414,075,827",82.65,83.05,82.65,82.85,+0.75,"1,285"
2018-03-31,"878,295","72,801,339",82.85,83.05,82.75,82.95,+0.10,495
2018-03-12,"8,752,324","735,446,031",83.6,84.25,83.55,84.15,+1.30,"2,942"
2018-03-13,"9,837,435","831,704,291",84.35,84.95,84.3,84.95,+0.80,"3,126"
2018-03-14,"3,415,928","287,869,559",84.35,84.45,84.0,84.3,-0.65,"1,373"
2018-03-15,"3,506,898","295,014,773",84.0,84.3,83.9,84.25,-0.05,"1,533"
2018-03-16,"5,510,671","460,021,500",84.0,84.2,83.1,83.9,-0.35,"1,652"
2018-03-19,"2,035,534","170,676,406",83.65,84.1,83.45,83.85,-0.05,892
